Maze0-20x20-A1_T1: Completed: 1.0, Average Time: 0.002, Standard Deviation: 0.00573
Maze0-20x20-A1_T3: Completed: 1.0, Average Time: 0.002, Standard Deviation: 0.00542
Maze0-20x20-A2_T1: Completed: 1.0, Average Time: 0.205, Standard Deviation: 0.35907
Maze0-20x20-A2_T3: Completed: 1.0, Average Time: 0.065, Standard Deviation: 0.19388
Maze0-20x20-A3_T1: Completed: 0.6, Average Time: 3.052, Standard Deviation: 5.7378
Maze0-20x20-A3_T3: Completed: 0.9, Average Time: 1.43, Standard Deviation: 5.17507
Maze0-20x20-A4_T1: Completed: 0.4, Average Time: 2.007, Standard Deviation: 4.88419
Maze0-20x20-A4_T3: Completed: 0.72, Average Time: 1.542, Standard Deviation: 3.40243
Maze0-20x20-A5_T1: Completed: 0.28, Average Time: 7.406, Standard Deviation: 11.47996
Maze0-20x20-A5_T3: Completed: 0.36, Average Time: 2.431, Standard Deviation: 3.17148
Maze0-20x20-A6_T1: Completed: 0.22, Average Time: 7.913, Standard Deviation: 9.94036
Maze0-20x20-A6_T3: Completed: 0.22, Average Time: 6.065, Standard Deviation: 7.52405
Maze0-20x20-A7_T1: Completed: 0.2, Average Time: 4.648, Standard Deviation: 7.20558
Maze0-20x20-A7_T3: Completed: 0.16, Average Time: 14.861, Standard Deviation: 11.42387
Maze0-20x20-A8_T1: Completed: 0.08, Average Time: 1.418, Standard Deviation: 1.53989
Maze0-20x20-A8_T3: Completed: 0.06, Average Time: 2.214, Standard Deviation: 2.96525
Maze0-20x20-A9_T1: Completed: 0.02, Average Time: 3.406, Standard Deviation: nan
Maze0-20x20-A9_T3: Completed: 0.04, Average Time: 3.781, Standard Deviation: 1.65625
Maze0-20x20-A10_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Maze0-20x20-A10_T3: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Obstacles65-20x20-A10_T1: Completed: 0.08, Average Time: 6.012, Standard Deviation: 10.11585
Obstacles65-20x20-A10_T3: Completed: 0.22, Average Time: 6.413, Standard Deviation: 6.82762
Obstacles65-20x20-A1_T1: Completed: 1.0, Average Time: 0.005, Standard Deviation: 0.00729
Obstacles65-20x20-A2_T1: Completed: 1.0, Average Time: 0.205, Standard Deviation: 0.47317
Obstacles65-20x20-A3_T1: Completed: 0.8, Average Time: 1.927, Standard Deviation: 3.58941
Obstacles65-20x20-A3_T3: Completed: 1.0, Average Time: 0.025, Standard Deviation: 0.02049
Obstacles65-20x20-A4_T1: Completed: 0.44, Average Time: 1.744, Standard Deviation: 3.86804
Obstacles65-20x20-A4_T3: Completed: 1.0, Average Time: 0.384, Standard Deviation: 0.7167
Obstacles65-20x20-A5_T1: Completed: 0.32, Average Time: 1.553, Standard Deviation: 3.07068
Obstacles65-20x20-A5_T3: Completed: 0.98, Average Time: 0.898, Standard Deviation: 1.41086
Obstacles65-20x20-A6_T1: Completed: 0.28, Average Time: 2.783, Standard Deviation: 5.26721
Obstacles65-20x20-A6_T3: Completed: 0.96, Average Time: 1.955, Standard Deviation: 2.90873
Obstacles65-20x20-A7_T1: Completed: 0.2, Average Time: 5.475, Standard Deviation: 7.53926
Obstacles65-20x20-A7_T3: Completed: 0.6, Average Time: 3.574, Standard Deviation: 5.2055
Obstacles65-20x20-A8_T1: Completed: 0.12, Average Time: 5.659, Standard Deviation: 8.5829
Obstacles65-20x20-A8_T3: Completed: 0.4, Average Time: 4.927, Standard Deviation: 7.41889
Obstacles65-20x20-A9_T1: Completed: 0.14, Average Time: 1.679, Standard Deviation: 1.24471
Obstacles65-20x20-A9_T3: Completed: 0.26, Average Time: 7.805, Standard Deviation: 8.93731
Open-20x20-A10_T1: Completed: 0.04, Average Time: 18.031, Standard Deviation: 3.95312
Open-20x20-A10_T3: Completed: 0.1, Average Time: 1.753, Standard Deviation: 1.64469
Open-20x20-A1_T1: Completed: 1.0, Average Time: 0.006, Standard Deviation: 0.00765
Open-20x20-A1_T3: Completed: 1.0, Average Time: 0.007, Standard Deviation: 0.00839
Open-20x20-A2_T1: Completed: 1.0, Average Time: 0.837, Standard Deviation: 1.83374
Open-20x20-A2_T3: Completed: 1.0, Average Time: 0.015, Standard Deviation: 0.00662
Open-20x20-A3_T1: Completed: 0.74, Average Time: 1.771, Standard Deviation: 4.81509
Open-20x20-A3_T3: Completed: 1.0, Average Time: 0.026, Standard Deviation: 0.00976
Open-20x20-A4_T1: Completed: 0.52, Average Time: 1.968, Standard Deviation: 4.72914
Open-20x20-A4_T3: Completed: 1.0, Average Time: 1.288, Standard Deviation: 1.99714
Open-20x20-A5_T1: Completed: 0.3, Average Time: 6.652, Standard Deviation: 10.09784
Open-20x20-A5_T3: Completed: 0.98, Average Time: 2.999, Standard Deviation: 4.1202
Open-20x20-A6_T1: Completed: 0.16, Average Time: 0.676, Standard Deviation: 0.84685
Open-20x20-A6_T3: Completed: 1.0, Average Time: 2.972, Standard Deviation: 3.86182
Open-20x20-A7_T1: Completed: 0.08, Average Time: 10.617, Standard Deviation: 9.14083
Open-20x20-A7_T3: Completed: 0.64, Average Time: 3.977, Standard Deviation: 4.90879
Open-20x20-A8_T1: Completed: 0.16, Average Time: 7.639, Standard Deviation: 10.29228
Open-20x20-A8_T3: Completed: 0.46, Average Time: 4.601, Standard Deviation: 7.16386
Open-20x20-A9_T1: Completed: 0.04, Average Time: 4.844, Standard Deviation: 1.21875
Open-20x20-A9_T3: Completed: 0.22, Average Time: 7.55, Standard Deviation: 7.53133
