Maze0-20x20-A1_T1: Completed: 1.0, Average Time: 0.004, Standard Deviation: 0.00829
Maze0-20x20-A1_T3: Completed: 1.0, Average Time: 0.003, Standard Deviation: 0.00699
Maze0-20x20-A2_T1: Completed: 1.0, Average Time: 0.029, Standard Deviation: 0.08463
Maze0-20x20-A2_T3: Completed: 1.0, Average Time: 0.07, Standard Deviation: 0.21131
Maze0-20x20-A3_T1: Completed: 1.0, Average Time: 0.645, Standard Deviation: 2.63142
Maze0-20x20-A3_T3: Completed: 0.9, Average Time: 1.157, Standard Deviation: 4.1466
Maze0-20x20-A4_T1: Completed: 0.84, Average Time: 1.309, Standard Deviation: 3.31335
Maze0-20x20-A4_T3: Completed: 0.86, Average Time: 2.541, Standard Deviation: 6.35409
Maze0-20x20-A5_T1: Completed: 0.6, Average Time: 0.852, Standard Deviation: 2.61612
Maze0-20x20-A5_T3: Completed: 0.6, Average Time: 2.707, Standard Deviation: 5.73438
Maze0-20x20-A6_T1: Completed: 0.58, Average Time: 2.914, Standard Deviation: 6.20948
Maze0-20x20-A6_T3: Completed: 0.4, Average Time: 4.523, Standard Deviation: 8.40237
Maze0-20x20-A7_T1: Completed: 0.5, Average Time: 3.958, Standard Deviation: 5.81954
Maze0-20x20-A7_T3: Completed: 0.32, Average Time: 4.229, Standard Deviation: 7.7643
Maze0-20x20-A8_T1: Completed: 0.22, Average Time: 10.472, Standard Deviation: 1.86817
Maze0-20x20-A8_T3: Completed: 0.1, Average Time: 0.978, Standard Deviation: 0.90402
Maze0-20x20-A9_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Maze0-20x20-A9_T3: Completed: 0.12, Average Time: 4.779, Standard Deviation: 6.91666
Maze0-20x20-A10_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Maze0-20x20-A10_T3: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Obstacles65-20x20-A10_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Obstacles65-20x20-A10_T3: Completed: 1.0, Average Time: 0.331, Standard Deviation: 0.49541
Obstacles65-20x20-A1_T1: Completed: 1.0, Average Time: 0.005, Standard Deviation: 0.0074
Obstacles65-20x20-A2_T1: Completed: 1.0, Average Time: 0.01, Standard Deviation: 0.00758
Obstacles65-20x20-A3_T1: Completed: 1.0, Average Time: 0.019, Standard Deviation: 0.0121
Obstacles65-20x20-A3_T3: Completed: 1.0, Average Time: 0.017, Standard Deviation: 0.0112
Obstacles65-20x20-A4_T1: Completed: 1.0, Average Time: 0.046, Standard Deviation: 0.07917
Obstacles65-20x20-A4_T3: Completed: 1.0, Average Time: 0.028, Standard Deviation: 0.03711
Obstacles65-20x20-A5_T1: Completed: 1.0, Average Time: 0.132, Standard Deviation: 0.36489
Obstacles65-20x20-A5_T3: Completed: 1.0, Average Time: 0.032, Standard Deviation: 0.01497
Obstacles65-20x20-A6_T1: Completed: 1.0, Average Time: 0.352, Standard Deviation: 1.00751
Obstacles65-20x20-A6_T3: Completed: 1.0, Average Time: 0.056, Standard Deviation: 0.05635
Obstacles65-20x20-A7_T1: Completed: 0.98, Average Time: 1.396, Standard Deviation: 1.9139
Obstacles65-20x20-A7_T3: Completed: 1.0, Average Time: 0.062, Standard Deviation: 0.03852
Obstacles65-20x20-A8_T1: Completed: 0.96, Average Time: 10.266, Standard Deviation: 2.37578
Obstacles65-20x20-A8_T3: Completed: 1.0, Average Time: 0.092, Standard Deviation: 0.09207
Obstacles65-20x20-A9_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Obstacles65-20x20-A9_T3: Completed: 0.98, Average Time: 0.143, Standard Deviation: 0.17067
Open-20x20-A10_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Open-20x20-A10_T3: Completed: 1.0, Average Time: 1.631, Standard Deviation: 4.60358
Open-20x20-A1_T1: Completed: 1.0, Average Time: 0.006, Standard Deviation: 0.00758
Open-20x20-A1_T3: Completed: 1.0, Average Time: 0.006, Standard Deviation: 0.0075
Open-20x20-A2_T1: Completed: 1.0, Average Time: 0.017, Standard Deviation: 0.01298
Open-20x20-A2_T3: Completed: 1.0, Average Time: 0.015, Standard Deviation: 0.00791
Open-20x20-A3_T1: Completed: 1.0, Average Time: 0.023, Standard Deviation: 0.00841
Open-20x20-A3_T3: Completed: 1.0, Average Time: 0.024, Standard Deviation: 0.00893
Open-20x20-A4_T1: Completed: 1.0, Average Time: 0.065, Standard Deviation: 0.11084
Open-20x20-A4_T3: Completed: 1.0, Average Time: 0.034, Standard Deviation: 0.01841
Open-20x20-A5_T1: Completed: 1.0, Average Time: 0.1, Standard Deviation: 0.1235
Open-20x20-A5_T3: Completed: 1.0, Average Time: 0.106, Standard Deviation: 0.41859
Open-20x20-A6_T1: Completed: 1.0, Average Time: 0.283, Standard Deviation: 0.5588
Open-20x20-A6_T3: Completed: 1.0, Average Time: 0.068, Standard Deviation: 0.05014
Open-20x20-A7_T1: Completed: 1.0, Average Time: 1.576, Standard Deviation: 1.64668
Open-20x20-A7_T3: Completed: 1.0, Average Time: 0.24, Standard Deviation: 0.80664
Open-20x20-A8_T1: Completed: 0.92, Average Time: 11.888, Standard Deviation: 2.73756
Open-20x20-A8_T3: Completed: 1.0, Average Time: 0.196, Standard Deviation: 0.32229
Open-20x20-A9_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Open-20x20-A9_T3: Completed: 1.0, Average Time: 0.323, Standard Deviation: 0.63936
