Maze0-20x20-A1_T1: Completed: 1.0, Average Time: 0.003, Standard Deviation: 0.006
Maze0-20x20-A1_T3: Completed: 1.0, Average Time: 0.004, Standard Deviation: 0.00753
Maze0-20x20-A2_T1: Completed: 1.0, Average Time: 0.03, Standard Deviation: 0.08437
Maze0-20x20-A2_T3: Completed: 1.0, Average Time: 0.078, Standard Deviation: 0.23767
Maze0-20x20-A3_T1: Completed: 1.0, Average Time: 0.635, Standard Deviation: 2.67354
Maze0-20x20-A3_T3: Completed: 0.9, Average Time: 1.058, Standard Deviation: 3.87977
Maze0-20x20-A4_T1: Completed: 0.84, Average Time: 1.378, Standard Deviation: 3.42576
Maze0-20x20-A4_T3: Completed: 0.82, Average Time: 2.25, Standard Deviation: 5.1316
Maze0-20x20-A5_T1: Completed: 0.6, Average Time: 0.936, Standard Deviation: 2.81586
Maze0-20x20-A5_T3: Completed: 0.58, Average Time: 2.951, Standard Deviation: 5.5549
Maze0-20x20-A6_T1: Completed: 0.56, Average Time: 2.78, Standard Deviation: 5.84439
Maze0-20x20-A6_T3: Completed: 0.34, Average Time: 2.596, Standard Deviation: 5.02203
Maze0-20x20-A7_T1: Completed: 0.48, Average Time: 3.774, Standard Deviation: 5.12326
Maze0-20x20-A7_T3: Completed: 0.28, Average Time: 2.652, Standard Deviation: 4.74031
Maze0-20x20-A8_T1: Completed: 0.22, Average Time: 11.919, Standard Deviation: 1.98877
Maze0-20x20-A8_T3: Completed: 0.08, Average Time: 1.164, Standard Deviation: 0.81614
Maze0-20x20-A9_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Maze0-20x20-A9_T3: Completed: 0.08, Average Time: 6.703, Standard Deviation: 7.84769
Maze0-20x20-A10_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Maze0-20x20-A10_T3: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Obstacles65-20x20-A10_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Obstacles65-20x20-A10_T3: Completed: 1.0, Average Time: 1.084, Standard Deviation: 1.82382
Obstacles65-20x20-A1_T1: Completed: 1.0, Average Time: 0.007, Standard Deviation: 0.00779
Obstacles65-20x20-A2_T1: Completed: 1.0, Average Time: 0.017, Standard Deviation: 0.00727
Obstacles65-20x20-A3_T1: Completed: 1.0, Average Time: 0.027, Standard Deviation: 0.01171
Obstacles65-20x20-A3_T3: Completed: 1.0, Average Time: 0.025, Standard Deviation: 0.02075
Obstacles65-20x20-A4_T1: Completed: 1.0, Average Time: 0.063, Standard Deviation: 0.07699
Obstacles65-20x20-A4_T3: Completed: 1.0, Average Time: 0.039, Standard Deviation: 0.01774
Obstacles65-20x20-A5_T1: Completed: 1.0, Average Time: 0.164, Standard Deviation: 0.41275
Obstacles65-20x20-A5_T3: Completed: 1.0, Average Time: 0.043, Standard Deviation: 0.01756
Obstacles65-20x20-A6_T1: Completed: 1.0, Average Time: 0.392, Standard Deviation: 1.0467
Obstacles65-20x20-A6_T3: Completed: 1.0, Average Time: 0.074, Standard Deviation: 0.04426
Obstacles65-20x20-A7_T1: Completed: 0.98, Average Time: 1.743, Standard Deviation: 2.32344
Obstacles65-20x20-A7_T3: Completed: 1.0, Average Time: 0.105, Standard Deviation: 0.09275
Obstacles65-20x20-A8_T1: Completed: 0.94, Average Time: 12.124, Standard Deviation: 1.40022
Obstacles65-20x20-A8_T3: Completed: 1.0, Average Time: 0.212, Standard Deviation: 0.31018
Obstacles65-20x20-A9_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Obstacles65-20x20-A9_T3: Completed: 0.98, Average Time: 0.964, Standard Deviation: 2.95813
Open-20x20-A10_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Open-20x20-A10_T3: Completed: 1.0, Average Time: 1.939, Standard Deviation: 3.51501
Open-20x20-A1_T1: Completed: 1.0, Average Time: 0.008, Standard Deviation: 0.00781
Open-20x20-A1_T3: Completed: 1.0, Average Time: 0.009, Standard Deviation: 0.00771
Open-20x20-A2_T1: Completed: 1.0, Average Time: 0.02, Standard Deviation: 0.01474
Open-20x20-A2_T3: Completed: 1.0, Average Time: 0.018, Standard Deviation: 0.00788
Open-20x20-A3_T1: Completed: 1.0, Average Time: 0.028, Standard Deviation: 0.01002
Open-20x20-A3_T3: Completed: 1.0, Average Time: 0.026, Standard Deviation: 0.0096
Open-20x20-A4_T1: Completed: 1.0, Average Time: 0.068, Standard Deviation: 0.11377
Open-20x20-A4_T3: Completed: 1.0, Average Time: 0.052, Standard Deviation: 0.08584
Open-20x20-A5_T1: Completed: 1.0, Average Time: 0.096, Standard Deviation: 0.08954
Open-20x20-A5_T3: Completed: 1.0, Average Time: 0.107, Standard Deviation: 0.38257
Open-20x20-A6_T1: Completed: 1.0, Average Time: 0.306, Standard Deviation: 0.50089
Open-20x20-A6_T3: Completed: 1.0, Average Time: 0.071, Standard Deviation: 0.04253
Open-20x20-A7_T1: Completed: 1.0, Average Time: 1.495, Standard Deviation: 1.52812
Open-20x20-A7_T3: Completed: 1.0, Average Time: 0.147, Standard Deviation: 0.12164
Open-20x20-A8_T1: Completed: 0.92, Average Time: 11.669, Standard Deviation: 2.56813
Open-20x20-A8_T3: Completed: 1.0, Average Time: 0.387, Standard Deviation: 1.09782
Open-20x20-A9_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Open-20x20-A9_T3: Completed: 1.0, Average Time: 1.283, Standard Deviation: 2.90484
Open-20x20-A11_T3: Completed: 0.98, Average Time: 1.648, Standard Deviation: 0.91453
Open-20x20-A12_T3: Completed: 0.88, Average Time: 10.571, Standard Deviation: 3.73417
Open-20x20-A13_T3: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Open-20x20-A14_T3: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Open-20x20-A15_T3: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Obstacles65-20x20-A11_T3: Completed: 0.94, Average Time: 2.414, Standard Deviation: 2.68387
Obstacles65-20x20-A12_T3: Completed: 0.8, Average Time: 11.289, Standard Deviation: 4.06191
Obstacles65-20x20-A13_T3: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Obstacles65-20x20-A14_T3: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Obstacles65-20x20-A15_T3: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Obstacles65-20x20-A11_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Obstacles65-20x20-A12_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Obstacles65-20x20-A13_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Obstacles65-20x20-A14_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Obstacles65-20x20-A15_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Open-20x20-A11_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Open-20x20-A12_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Open-20x20-A13_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Open-20x20-A14_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
Open-20x20-A15_T1: Completed: 0.0, Average Time: nan, Standard Deviation: nan
